Full dataset,,,,,,,,,,,,,,,,,
,Field labels,GP7,SrpI-like,Gp13-like,Gp10A-like,Phage_cap_E,P22_CoatProtein,Phage_capsid,Phage_capsid_2,Linocin_M18,L_lactis_ph-MCP,DUF2184,ENC_III,ENCP4,DUF6260,DUF5309,Total
,Notes,,,,,,,,,,,,,,,,
,Generated_by,Co_occurrence_tkinter.py,,,,,,,,,,,,,,,
,Date,12/1/25,,,,,,,,,,,,,,,
Mini_DTR_135816_8,Mini_DTR_135816_8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Control_DTR_437789_1,Control_DTR_437789_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_698294_14,Control_DTR_698294_14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_662310_5,Mini_DTR_662310_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_497053_3,Control_DTR_497053_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_042739_6,Control_DTR_042739_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_701313_8,Control_DTR_701313_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control_DTR_216087_13,Control_DTR_216087_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_501506_16,Control_DTR_501506_16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_262823_19,Control_DTR_262823_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_405054_1,Control_DTR_405054_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_110268_2,Control_DTR_110268_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_784866_21,Control_DTR_784866_21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_459623_3,Mini_DTR_459623_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_095749_14,Control_DTR_095749_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control_DTR_099162_5,Control_DTR_099162_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Control_DTR_486720_2,Control_DTR_486720_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_176112_26,Control_DTR_176112_26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_348737_1,Control_DTR_348737_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Control_DTR_699652_3,Control_DTR_699652_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_153740_14,Control_DTR_153740_14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_699705_20,Control_DTR_699705_20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_395962_5,Mini_DTR_395962_5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Micro_DTR_299916_2,Micro_DTR_299916_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_008905_9,Mini_DTR_008905_9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Mini_DTR_117393_5,Mini_DTR_117393_5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_294789_13,Mini_DTR_294789_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
